Test,sensor_id,material,moisture_standard,sensor_data,
1,NMMoisture01,corn,13.7,22.04,
2,NMMoisture01,corn,13.7,20.11,
3,NMMoisture01,corn,13.7,24.1,
4,NMMoisture01,corn,13.7,19.82,
5,NMMoisture01,corn,13.7,22.02,
6,NMMoisture01,corn,13.7,22.29,
7,NMMoisture01,corn,13.7,20.01,
8,NMMoisture01,corn,13.5,23.18,
9,NMMoisture01,corn,13.5,24.38,
10,NMMoisture01,corn,13.5,20.81,
11,NMMoisture01,corn,13.5,20.88,
12,NMMoisture01,corn,13.5,20.76,
13,NMMoisture01,corn,13.5,21.74,
14,NMMoisture01,corn,13.5,21.78,
15,NMMoisture01,corn,13.5,19.24,
16,NMMoisture01,corn,13.5,19.94,
17,NMMoisture01,corn,14.1,22.8,
18,NMMoisture01,corn,14.1,21.92,
19,NMMoisture01,corn,14.1,22.03,
20,NMMoisture01,corn,14.1,22.92,
21,NMMoisture01,corn,14.1,21.49,
22,NMMoisture01,corn,14.1,20.58,
23,NMMoisture01,corn,14.1,20.59,
24,NMMoisture01,corn,14.1,22.54,
25,NMMoisture01,corn,14.1,21.97,
26,NMMoisture01,corn,14.1,20.86,
27,NMMoisture01,corn,17.3,23.35,
28,NMMoisture01,corn,17.3,25.76,
29,NMMoisture01,corn,17.3,25.6,
30,NMMoisture01,corn,17.3,26.05,
31,NMMoisture01,corn,17.3,24.43,
32,NMMoisture01,corn,17.3,27.54,
33,NMMoisture01,corn,17.3,23.86,
34,NMMoisture01,corn,17.3,26.26,
35,NMMoisture01,corn,17.3,25.93,
36,NMMoisture01,corn,19.7,26.26,
37,NMMoisture01,corn,19.7,26.37,
38,NMMoisture01,corn,19.7,26.79,
39,NMMoisture01,corn,19.7,24.03,
40,NMMoisture01,corn,19.7,24.15,
41,NMMoisture01,corn,19.7,24.21,
42,NMMoisture01,corn,19.7,23.45,
43,NMMoisture01,corn,19.7,23.76,
44,NMMoisture01,corn,19.7,27.35,
45,NMMoisture01,corn,19.7,24.65,
46,NMMoisture01,corn,19.7,22.56,
47,LR3Moisture01,corn,13.8,23.1,
48,LR3Moisture01,corn,13.8,23.1,
49,LR3Moisture01,corn,15.2,22.9,
50,LR3Moisture01,corn,15.2,22.7,
51,LR3Moisture01,corn,15.2,22.6,
52,LR3Moisture01,corn,15.2,23.4,
53,LR3Moisture01,corn,14.3,23.2,
54,LR3Moisture01,corn,14.3,21.1,
55,LR3Moisture01,corn,14.3,21.4,
56,LR3Moisture01,corn,14.3,24.7,
57,LR3Moisture01,corn,15.4,22.7,
58,LR3Moisture01,corn,15.4,22.8,
59,LR3Moisture01,corn,15.4,22.2,
60,LR3Moisture01,corn,14.8,24.3,
61,LR3Moisture01,corn,14.8,21.8,
62,LR3Moisture01,corn,14.8,21.8,
63,LR3Moisture01,corn,14.7,21,
64,LR3Moisture01,corn,14.7,21.8,
65,LR3Moisture01,corn,14.7,23.5,
66,LR3Moisture01,corn,14.7,22.1,
67,LR3Moisture01,corn,14.7,24,
68,LR3Moisture01,corn,15,22.1,
69,LR3Moisture01,corn,15,22.5,
70,LR3Moisture01,corn,15,23.3,
71,LR3Moisture01,corn,15,21.7,
72,LR3Moisture01,corn,15.4,23.7,
73,LR3Moisture01,corn,15.4,23.9,
74,LR3Moisture01,corn,15.4,21.5,
75,LR3Moisture01,corn,15.4,24.5,
76,LR3Moisture01,corn,15.3,23.2,
77,LR3Moisture01,corn,15.3,23.5,
78,LR3Moisture01,corn,15.3,23.5,
79,LR3Moisture01,corn,15.3,24,
80,LR3Moisture01,corn,15.3,23.1,
81,LR3Moisture01,corn,15.3,23.2,
82,LR3Moisture01,corn,15.3,23.8,
83,LR3Moisture01,corn,15.3,23.6,
84,LR3Moisture01,corn,15.3,22.5,
85,LR3Moisture01,corn,15.5,22.3,
86,LR3Moisture01,corn,15.5,23.7,
87,LR3Moisture01,corn,15.5,23.6,
88,LR3Moisture01,corn,15.5,24.2,
89,LR3Moisture01,corn,15.4,21.3,
90,LR3Moisture01,corn,15.4,23,
91,LR3Moisture01,corn,15.4,22.4,
92,LR3Moisture01,corn,15.4,22.4,
93,LR3Moisture01,corn,15.4,23,
94,LR3Moisture01,corn,14.3,22.5,
95,LR3Moisture01,corn,14.3,23.1,
96,LR3Moisture01,corn,14.3,24.6,
97,LR3Moisture01,corn,14.3,23.8,
98,LR3Moisture01,corn,14.3,23.8,
99,LR3Moisture01,corn,14.3,23.6,
100,LR3Moisture01,corn,14.3,23.8,
101,LR3Moisture01,corn,14.3,25.3,
102,LR3Moisture01,corn,16.3,25.2,
103,LR3Moisture01,corn,16.3,25.1,
104,LR3Moisture01,corn,16.3,24.3,
105,LR3Moisture01,corn,13.8,23.3,
106,LR3Moisture01,corn,13.8,22,
107,LR3Moisture01,corn,13.8,24,
108,LR3Moisture01,corn,16.1,23.8,
109,LR3Moisture01,corn,16.1,24.9,
110,LR3Moisture01,corn,16.1,24.4,
111,LR3Moisture01,corn,16.1,25.4,
112,LR3Moisture01,corn,16.1,24.6,
113,LR3Moisture01,corn,16.1,24.4,
114,LR3Moisture01,corn,14.4,23.2,
115,LR3Moisture01,corn,14.4,23.2,
116,LR3Moisture01,corn,14.4,22.6,
117,LR3Moisture01,corn,14.4,23.8,
118,LR3Moisture01,corn,17,25.8,
119,LR3Moisture01,corn,17,25.9,
120,LR3Moisture01,corn,17,26,
121,LR3Moisture01,corn,17,25.2,
122,LR3Moisture01,corn,17,25.2,
123,LR3Moisture01,corn,17,26.1,
124,LR3Moisture01,corn,17,25.1,
125,LR3Moisture01,corn,17,25.1,
126,LR3Moisture01,corn,17,25.9,
127,LR3Moisture01,corn,14.2,24.3,
128,LR3Moisture01,corn,14.2,21.3,
129,LR3Moisture01,corn,14.2,23.8,
130,LR3Moisture01,corn,16.3,25.1,
131,LR3Moisture01,corn,16.3,25.4,
132,LR3Moisture01,corn,16.3,25.4,
133,LR3Moisture01,corn,16.3,24.8,
134,LR3Moisture01,corn,16.3,22.9,
135,LR3Moisture01,corn,15.1,23.5,
136,LR3Moisture01,corn,15.1,22.7,
137,LR3Moisture01,corn,15.1,23.6,
138,LR3Moisture01,corn,15.1,23,
139,LR3Moisture01,corn,15.1,24.7,
140,LR3Moisture01,corn,15.3,22.3,
141,LR3Moisture01,corn,15.3,22.8,
142,LR3Moisture01,corn,15.3,23.2,
143,LR3Moisture01,corn,16.5,25.5,
144,LR3Moisture01,corn,16.5,24,
145,LR3Moisture01,corn,16.5,25.4,
146,LR3Moisture01,corn,16.5,25.2,
147,LR3Moisture01,corn,16.5,25.8,
148,LR3Moisture01,corn,16.5,25.3,
149,LR3Moisture01,corn,16.5,25.3,
150,LR3Moisture01,corn,16.5,24.8,
151,LR3Moisture01,corn,16.5,24.3,
152,LR3Moisture01,corn,16.5,25.4,
153,LR3Moisture01,corn,15.1,24.6,
154,LR3Moisture01,corn,15.1,22.9,
155,LR3Moisture01,corn,15.1,21.4,
156,LR3Moisture01,corn,15.1,25.3,
157,LR3Moisture01,corn,16.8,24.4,
158,LR3Moisture01,corn,16.8,22.1,
159,LR3Moisture01,corn,16.8,21.5,
160,LR3Moisture01,corn,17.1,24.3,
161,LR3Moisture01,corn,16.4,26.1,
162,LR3Moisture01,corn,16.4,24.9,
163,LR3Moisture01,corn,16.4,24.2,
164,LR3Moisture01,corn,16.4,26.8,
165,LR3Moisture01,corn,16.3,23.1,
166,LR3Moisture01,corn,16.3,25.1,
167,LR3Moisture01,corn,16.3,25.1,
168,LR3Moisture01,corn,16.5,24.4,
169,LR3Moisture01,corn,16.5,25.5,
170,LR3Moisture01,corn,16.5,24.5,
171,LR3Moisture01,corn,16.5,22.1,
172,LR3Moisture01,corn,16.5,22.1,
173,LR3Moisture01,corn,13.9,22.3,
174,LR3Moisture01,corn,13.9,21.8,
175,LR3Moisture01,corn,13.9,23,
176,LR3Moisture01,corn,13.9,21.9,
177,LR3Moisture01,corn,13.9,22.3,
178,LR3Moisture01,corn,13.9,23.6,
179,LR3Moisture01,corn,13.9,20.2,
180,LR3Moisture01,corn,16.5,26.6,
181,LR3Moisture01,corn,16.5,24,
182,LR3Moisture01,corn,16.5,25.1,
183,LR3Moisture01,corn,14.7,20,
184,LR3Moisture01,corn,14.7,19.8,
185,LR3Moisture01,corn,14.7,21.4,
186,LR3Moisture01,corn,14.7,21.8,
187,LR3Moisture01,corn,14.7,19.7,
188,LR3Moisture01,corn,16.7,24.4,
189,LR3Moisture01,corn,16.7,25.7,
190,LR3Moisture01,corn,16.7,24.8,
191,LR3Moisture01,corn,16.7,25.8,
192,LR3Moisture01,corn,16.7,24.9,
193,LR3Moisture01,corn,16.7,25,
194,LR3Moisture01,corn,16.7,24.2,
195,LR3Moisture01,corn,16.7,24.9,
196,LR3Moisture01,corn,13.8,21.9,
197,LR3Moisture01,corn,13.8,23.1,
198,LR3Moisture01,corn,13.8,23.1,
199,LR3Moisture01,corn,13.8,23.1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
